Data          Hora     Temp_atual   Temp_med   Temp_min   Temp_max   Umi_atual   Umi_med   Umi_min   Umi_max
2024-10-11   13:50:22   26.85°C     26.82°C     26.80°C   26.85°C    67.23RH    67.81RH    67.21RH   68.10RH
2024-10-11   13:50:27   26.83°C     26.82°C     26.80°C   26.85°C    67.24RH    67.81RH    67.21RH   68.10RH
2024-10-11   13:50:32   26.83°C     26.82°C     26.80°C   26.85°C    67.19RH    67.80RH    67.19RH   68.10RH
2024-10-11   13:50:37   26.83°C     26.82°C     26.80°C   26.85°C    67.14RH    67.80RH    67.14RH   68.10RH
2024-10-11   13:50:42   26.85°C     26.82°C     26.80°C   26.85°C    67.14RH    67.79RH    67.14RH   68.10RH
2024-10-11   13:50:47   26.84°C     26.82°C     26.80°C   26.85°C    67.14RH    67.79RH    67.14RH   68.10RH
2024-10-11   13:50:52   26.84°C     26.82°C     26.80°C   26.85°C    67.20RH    67.78RH    67.14RH   68.10RH
2024-10-11   13:50:57   26.84°C     26.82°C     26.80°C   26.85°C    67.20RH    67.78RH    67.14RH   68.10RH
2024-10-11   13:51:02   26.85°C     26.83°C     26.80°C   26.85°C    67.17RH    67.77RH    67.14RH   68.10RH
2024-10-11   13:51:07   26.85°C     26.83°C     26.80°C   26.85°C    67.13RH    67.77RH    67.13RH   68.10RH
2024-10-11   13:51:12   26.84°C     26.83°C     26.80°C   26.85°C    67.15RH    67.76RH    67.13RH   68.10RH
2024-10-11   13:51:17   26.83°C     26.83°C     26.80°C   26.85°C    67.12RH    67.76RH    67.12RH   68.10RH
2024-10-11   13:51:22   26.83°C     26.83°C     26.80°C   26.85°C    67.12RH    67.75RH    67.12RH   68.10RH
2024-10-11   13:51:27   26.84°C     26.83°C     26.80°C   26.85°C    67.09RH    67.75RH    67.09RH   68.10RH
2024-10-11   13:51:33   26.84°C     26.83°C     26.80°C   26.85°C    67.08RH    67.74RH    67.08RH   68.10RH
2024-10-11   13:51:38   26.83°C     26.83°C     26.80°C   26.85°C    67.10RH    67.74RH    67.08RH   68.10RH
2024-10-11   13:51:43   26.84°C     26.83°C     26.80°C   26.85°C    67.10RH    67.73RH    67.08RH   68.10RH
2024-10-11   13:51:48   26.84°C     26.83°C     26.80°C   26.85°C    67.09RH    67.73RH    67.08RH   68.10RH
2024-10-11   13:51:53   26.83°C     26.83°C     26.80°C   26.85°C    67.10RH    67.73RH    67.08RH   68.10RH
2024-10-11   13:51:58   26.81°C     26.83°C     26.80°C   26.85°C    67.11RH    67.72RH    67.08RH   68.10RH
2024-10-11   13:52:03   26.84°C     26.83°C     26.80°C   26.85°C    67.10RH    67.72RH    67.08RH   68.10RH
2024-10-11   13:52:08   26.83°C     26.83°C     26.80°C   26.85°C    67.09RH    67.71RH    67.08RH   68.10RH
2024-10-11   13:52:13   26.88°C     26.83°C     26.80°C   26.88°C    67.05RH    67.71RH    67.05RH   68.10RH
2024-10-11   13:52:18   26.85°C     26.83°C     26.80°C   26.88°C    67.04RH    67.70RH    67.04RH   68.10RH
2024-10-11   13:52:23   26.83°C     26.83°C     26.80°C   26.88°C    67.01RH    67.70RH    67.01RH   68.10RH
2024-10-11   13:52:28   26.85°C     26.83°C     26.80°C   26.88°C    66.96RH    67.69RH    66.96RH   68.10RH
2024-10-11   13:52:33   26.87°C     26.83°C     26.80°C   26.88°C    66.97RH    67.69RH    66.96RH   68.10RH
2024-10-11   13:52:38   26.88°C     26.83°C     26.80°C   26.88°C    67.00RH    67.68RH    66.96RH   68.10RH
2024-10-11   13:52:43   26.87°C     26.83°C     26.80°C   26.88°C    66.97RH    67.68RH    66.96RH   68.10RH
2024-10-11   13:52:48   26.85°C     26.83°C     26.80°C   26.88°C    67.01RH    67.67RH    66.96RH   68.10RH
2024-10-11   13:52:53   26.85°C     26.83°C     26.80°C   26.88°C    66.98RH    67.67RH    66.96RH   68.10RH
2024-10-11   13:52:58   26.87°C     26.83°C     26.80°C   26.88°C    66.98RH    67.67RH    66.96RH   68.10RH
2024-10-11   13:53:03   26.88°C     26.83°C     26.80°C   26.88°C    66.98RH    67.66RH    66.96RH   68.10RH
2024-10-11   13:53:08   26.87°C     26.83°C     26.80°C   26.88°C    66.98RH    67.66RH    66.96RH   68.10RH
2024-10-11   13:53:13   26.87°C     26.83°C     26.80°C   26.88°C    66.95RH    67.65RH    66.95RH   68.10RH
2024-10-11   13:53:18   26.88°C     26.83°C     26.80°C   26.88°C    66.97RH    67.65RH    66.95RH   68.10RH
2024-10-11   13:53:23   26.88°C     26.83°C     26.80°C   26.88°C    66.94RH    67.64RH    66.94RH   68.10RH
2024-10-11   13:53:28   26.85°C     26.83°C     26.80°C   26.88°C    66.95RH    67.64RH    66.94RH   68.10RH
2024-10-11   13:53:34   26.85°C     26.83°C     26.80°C   26.88°C    66.95RH    67.63RH    66.94RH   68.10RH
2024-10-11   13:53:39   26.85°C     26.83°C     26.80°C   26.88°C    66.94RH    67.63RH    66.94RH   68.10RH
2024-10-11   13:53:44   26.87°C     26.83°C     26.80°C   26.88°C    66.93RH    67.63RH    66.93RH   68.10RH
2024-10-11   13:53:49   26.85°C     26.83°C     26.80°C   26.88°C    66.93RH    67.62RH    66.93RH   68.10RH
2024-10-11   13:53:54   26.87°C     26.83°C     26.80°C   26.88°C    66.93RH    67.62RH    66.93RH   68.10RH
2024-10-11   13:53:59   26.87°C     26.83°C     26.80°C   26.88°C    66.91RH    67.61RH    66.91RH   68.10RH
2024-10-11   13:54:04   26.85°C     26.83°C     26.80°C   26.88°C    66.87RH    67.61RH    66.87RH   68.10RH
2024-10-11   13:54:09   26.85°C     26.83°C     26.80°C   26.88°C    66.83RH    67.60RH    66.83RH   68.10RH
2024-10-11   13:54:14   26.87°C     26.83°C     26.80°C   26.88°C    66.81RH    67.60RH    66.81RH   68.10RH
2024-10-11   13:54:19   26.85°C     26.83°C     26.80°C   26.88°C    66.84RH    67.59RH    66.81RH   68.10RH
2024-10-11   13:54:24   26.84°C     26.83°C     26.80°C   26.88°C    66.80RH    67.59RH    66.80RH   68.10RH
2024-10-11   13:54:29   26.85°C     26.83°C     26.80°C   26.88°C    66.79RH    67.58RH    66.79RH   68.10RH
2024-10-11   13:54:34   26.85°C     26.83°C     26.80°C   26.88°C    66.80RH    67.58RH    66.79RH   68.10RH
2024-10-11   13:54:39   26.84°C     26.83°C     26.80°C   26.88°C    66.84RH    67.58RH    66.79RH   68.10RH
2024-10-11   13:54:44   26.85°C     26.83°C     26.80°C   26.88°C    66.81RH    67.57RH    66.79RH   68.10RH
2024-10-11   13:54:49   26.87°C     26.83°C     26.80°C   26.88°C    66.85RH    67.57RH    66.79RH   68.10RH
2024-10-11   13:54:54   26.85°C     26.83°C     26.80°C   26.88°C    66.82RH    67.56RH    66.79RH   68.10RH
2024-10-11   13:54:59   26.85°C     26.83°C     26.80°C   26.88°C    66.80RH    67.56RH    66.79RH   68.10RH
2024-10-11   13:55:04   26.85°C     26.83°C     26.80°C   26.88°C    66.83RH    67.55RH    66.79RH   68.10RH
2024-10-11   13:55:09   26.83°C     26.83°C     26.80°C   26.88°C    66.82RH    67.55RH    66.79RH   68.10RH
