Data          Hora     Temp_atual   Temp_med   Temp_min   Temp_max   Umi_atual   Umi_med   Umi_min   Umi_max
2024-10-15   11:00:51   26.93°C     26.90°C     26.84°C   26.94°C    57.50RH    57.70RH    57.39RH   58.30RH
2024-10-15   11:00:57   26.94°C     26.90°C     26.84°C   26.94°C    57.49RH    57.70RH    57.39RH   58.30RH
2024-10-15   11:01:03   26.93°C     26.90°C     26.84°C   26.94°C    57.46RH    57.70RH    57.39RH   58.30RH
2024-10-15   11:01:09   26.94°C     26.90°C     26.84°C   26.94°C    57.43RH    57.69RH    57.39RH   58.30RH
2024-10-15   11:01:15   26.93°C     26.90°C     26.84°C   26.94°C    57.39RH    57.69RH    57.39RH   58.30RH
2024-10-15   11:01:21   26.93°C     26.90°C     26.84°C   26.94°C    57.31RH    57.69RH    57.31RH   58.30RH
2024-10-15   11:01:27   26.93°C     26.90°C     26.84°C   26.94°C    57.26RH    57.69RH    57.26RH   58.30RH
2024-10-15   11:01:33   26.91°C     26.90°C     26.84°C   26.94°C    57.22RH    57.68RH    57.22RH   58.30RH
2024-10-15   11:01:40   26.91°C     26.90°C     26.84°C   26.94°C    57.24RH    57.68RH    57.22RH   58.30RH
2024-10-15   11:01:46   26.93°C     26.90°C     26.84°C   26.94°C    57.18RH    57.68RH    57.18RH   58.30RH
2024-10-15   11:01:52   26.94°C     26.90°C     26.84°C   26.94°C    57.21RH    57.68RH    57.18RH   58.30RH
2024-10-15   11:01:58   26.90°C     26.90°C     26.84°C   26.94°C    57.25RH    57.67RH    57.18RH   58.30RH
2024-10-15   11:02:04   26.88°C     26.90°C     26.84°C   26.94°C    57.24RH    57.67RH    57.18RH   58.30RH
2024-10-15   11:02:10   26.88°C     26.90°C     26.84°C   26.94°C    57.33RH    57.67RH    57.18RH   58.30RH
2024-10-15   11:02:16   26.90°C     26.90°C     26.84°C   26.94°C    57.35RH    57.67RH    57.18RH   58.30RH
2024-10-15   11:02:22   26.90°C     26.90°C     26.84°C   26.94°C    57.38RH    57.67RH    57.18RH   58.30RH
2024-10-15   11:02:28   26.91°C     26.90°C     26.84°C   26.94°C    57.34RH    57.66RH    57.18RH   58.30RH
2024-10-15   11:02:34   26.91°C     26.90°C     26.84°C   26.94°C    57.33RH    57.66RH    57.18RH   58.30RH
2024-10-15   11:02:40   26.93°C     26.90°C     26.84°C   26.94°C    57.25RH    57.66RH    57.18RH   58.30RH
2024-10-15   11:02:46   26.90°C     26.90°C     26.84°C   26.94°C    57.22RH    57.66RH    57.18RH   58.30RH
2024-10-15   11:02:52   26.91°C     26.90°C     26.84°C   26.94°C    57.34RH    57.66RH    57.18RH   58.30RH
2024-10-15   11:02:58   26.93°C     26.90°C     26.84°C   26.94°C    57.44RH    57.65RH    57.18RH   58.30RH
2024-10-15   11:03:04   26.91°C     26.90°C     26.84°C   26.94°C    57.46RH    57.65RH    57.18RH   58.30RH
2024-10-15   11:03:10   26.93°C     26.90°C     26.84°C   26.94°C    57.43RH    57.65RH    57.18RH   58.30RH
2024-10-15   11:03:16   26.91°C     26.90°C     26.84°C   26.94°C    57.37RH    57.65RH    57.18RH   58.30RH
2024-10-15   11:03:22   26.94°C     26.90°C     26.84°C   26.94°C    57.37RH    57.65RH    57.18RH   58.30RH
2024-10-15   11:03:28   26.90°C     26.90°C     26.84°C   26.94°C    57.34RH    57.65RH    57.18RH   58.30RH
2024-10-15   11:03:34   26.91°C     26.90°C     26.84°C   26.94°C    57.32RH    57.65RH    57.18RH   58.30RH
2024-10-15   11:03:40   26.93°C     26.90°C     26.84°C   26.94°C    57.34RH    57.64RH    57.18RH   58.30RH
2024-10-15   11:03:46   26.93°C     26.90°C     26.84°C   26.94°C    57.29RH    57.64RH    57.18RH   58.30RH
2024-10-15   11:03:53   26.91°C     26.90°C     26.84°C   26.94°C    57.35RH    57.64RH    57.18RH   58.30RH
2024-10-15   11:03:59   26.93°C     26.90°C     26.84°C   26.94°C    57.35RH    57.64RH    57.18RH   58.30RH
2024-10-15   11:04:05   26.93°C     26.90°C     26.84°C   26.94°C    57.36RH    57.64RH    57.18RH   58.30RH
2024-10-15   11:04:11   26.93°C     26.90°C     26.84°C   26.94°C    57.32RH    57.64RH    57.18RH   58.30RH
2024-10-15   11:04:17   26.91°C     26.90°C     26.84°C   26.94°C    57.36RH    57.63RH    57.18RH   58.30RH
2024-10-15   11:04:23   26.93°C     26.90°C     26.84°C   26.94°C    57.40RH    57.63RH    57.18RH   58.30RH
2024-10-15   11:04:29   26.94°C     26.90°C     26.84°C   26.94°C    57.41RH    57.63RH    57.18RH   58.30RH
2024-10-15   11:04:35   26.90°C     26.90°C     26.84°C   26.94°C    57.44RH    57.63RH    57.18RH   58.30RH
2024-10-15   11:04:41   26.93°C     26.90°C     26.84°C   26.94°C    57.47RH    57.63RH    57.18RH   58.30RH
2024-10-15   11:04:47   26.94°C     26.90°C     26.84°C   26.94°C    57.50RH    57.63RH    57.18RH   58.30RH
2024-10-15   11:04:53   26.93°C     26.90°C     26.84°C   26.94°C    57.52RH    57.63RH    57.18RH   58.30RH
2024-10-15   11:04:59   26.94°C     26.90°C     26.84°C   26.94°C    57.54RH    57.63RH    57.18RH   58.30RH
2024-10-15   11:05:05   26.94°C     26.90°C     26.84°C   26.94°C    57.52RH    57.63RH    57.18RH   58.30RH
2024-10-15   11:05:11   26.97°C     26.90°C     26.84°C   26.97°C    57.53RH    57.63RH    57.18RH   58.30RH
2024-10-15   11:05:18   26.94°C     26.90°C     26.84°C   26.97°C    57.53RH    57.63RH    57.18RH   58.30RH
2024-10-15   11:05:24   26.95°C     26.90°C     26.84°C   26.97°C    57.54RH    57.63RH    57.18RH   58.30RH
2024-10-15   11:05:30   26.97°C     26.90°C     26.84°C   26.97°C    57.54RH    57.63RH    57.18RH   58.30RH
2024-10-15   11:05:36   26.94°C     26.90°C     26.84°C   26.97°C    57.56RH    57.63RH    57.18RH   58.30RH
2024-10-15   11:05:42   26.95°C     26.90°C     26.84°C   26.97°C    57.54RH    57.63RH    57.18RH   58.30RH
2024-10-15   11:05:48   26.95°C     26.90°C     26.84°C   26.97°C    57.55RH    57.63RH    57.18RH   58.30RH
2024-10-15   11:05:54   26.94°C     26.90°C     26.84°C   26.97°C    57.61RH    57.63RH    57.18RH   58.30RH
2024-10-15   11:06:00   26.95°C     26.90°C     26.84°C   26.97°C    57.70RH    57.63RH    57.18RH   58.30RH
2024-10-15   11:06:06   26.99°C     26.90°C     26.84°C   26.99°C    57.71RH    57.63RH    57.18RH   58.30RH
2024-10-15   11:06:12   26.97°C     26.91°C     26.84°C   26.99°C    57.69RH    57.63RH    57.18RH   58.30RH
2024-10-15   11:06:18   26.98°C     26.91°C     26.84°C   26.99°C    57.70RH    57.63RH    57.18RH   58.30RH
2024-10-15   11:06:25   26.99°C     26.91°C     26.84°C   26.99°C    57.71RH    57.63RH    57.18RH   58.30RH
2024-10-15   11:06:31   26.99°C     26.91°C     26.84°C   26.99°C    57.74RH    57.63RH    57.18RH   58.30RH
2024-10-15   11:06:37   27.01°C     26.91°C     26.84°C   27.01°C    57.71RH    57.63RH    57.18RH   58.30RH
2024-10-15   11:06:43   26.99°C     26.91°C     26.84°C   27.01°C    57.67RH    57.63RH    57.18RH   58.30RH
2024-10-15   11:06:49   27.01°C     26.91°C     26.84°C   27.01°C    57.63RH    57.63RH    57.18RH   58.30RH
2024-10-15   11:06:55   27.02°C     26.91°C     26.84°C   27.02°C    57.62RH    57.63RH    57.18RH   58.30RH
2024-10-15   11:07:01   27.01°C     26.91°C     26.84°C   27.02°C    57.60RH    57.63RH    57.18RH   58.30RH
2024-10-15   11:07:07   27.01°C     26.91°C     26.84°C   27.02°C    57.51RH    57.63RH    57.18RH   58.30RH
2024-10-15   11:07:13   27.01°C     26.91°C     26.84°C   27.02°C    57.47RH    57.63RH    57.18RH   58.30RH
2024-10-15   11:07:19   27.02°C     26.91°C     26.84°C   27.02°C    57.38RH    57.63RH    57.18RH   58.30RH
2024-10-15   11:07:25   27.05°C     26.91°C     26.84°C   27.05°C    57.33RH    57.62RH    57.18RH   58.30RH
